ticker,system,sharpe,return,mdd,calmar,win_rate
AAPL,buy_hold,4.224637021848043,0.5493406092588149,-0.06450782205626737,8.515875931753655,0.5772357723577236
AAPL,finrl_ppo,4.224637021848043,0.5493406092588149,-0.06450782205626737,8.515875931753655,0.5772357723577236
AAPL,trading_agents,3.8599381388408465,0.4543217719266095,-0.061991390985871586,7.328788154312486,0.5040650406504065
AAPL,majority_vote_ensemble,,0.0,0.0,,0.0
MSFT,buy_hold,2.5076364933495006,0.41998271975957935,-0.09516111253995674,4.413385978261181,0.5203252032520326
MSFT,finrl_ppo,2.8952402822611787,0.4849387167175905,-0.09516111253995663,5.095975696101414,0.5203252032520326
MSFT,trading_agents,2.700850991955848,0.42526601582302237,-0.09781779941356505,4.3475320276326705,0.45528455284552843
MSFT,majority_vote_ensemble,,0.0,0.0,,0.0
NVDA,buy_hold,4.043598963461798,1.9521269996507162,-0.10082277654433847,19.361964295758472,0.5853658536585366
NVDA,finrl_ppo,4.043598963461798,1.9521269996507162,-0.10082277654433847,19.361964295758472,0.5853658536585366
NVDA,trading_agents,3.4070413184894512,1.4418924099545776,-0.10082277654433858,14.301256713759319,0.5203252032520326
NVDA,majority_vote_ensemble,,0.0,0.0,,0.0
